Tabla,Parámetro/Campo,Tipo de dato,Descripción,Ejemplo de valor
PERMISO,id,Entero (PK),Identificador único del permiso,15
PERMISO,codigo,Texto (UK),Código corto del permiso,NOTA_WRITE
PERMISO,modulo,Texto,Módulo del sistema al que aplica el permiso,EVALUACIONES
PERMISO,descripcion,Texto,Descripción de lo que permite realizar,Crear y editar calificaciones de actividades evaluativas
USUARIO_ROL,id,Entero (PK),Identificador único de la asignación,22
USUARIO_ROL,usuario_id,Entero (FK),Usuario al que se asigna el rol,30
USUARIO_ROL,rol_id,Entero (FK),Rol asignado al usuario,3
USUARIO_ROL,asignado_en,Fecha-hora,Fecha y hora en que se otorgó el rol,2025-09-01 08:00:00
USUARIO_ROL,expira_en,Fecha-hora,Fecha y hora en que expira la asignación del rol,2026-07-11 23:59:59
ROL_PERMISO,id,Entero (PK),Identificador único del vínculo rol-permiso,40
ROL_PERMISO,rol_id,Entero (FK),Rol al que pertenece el permiso,3
ROL_PERMISO,permiso_id,Entero (FK),Permiso otorgado al rol,15
VINCULO_FAMILIAR,id,Entero (PK),Identificador único del vínculo familiar,7
VINCULO_FAMILIAR,perfil_estudiante_id,Entero (FK),Estudiante al que corresponde el representante,18
VINCULO_FAMILIAR,persona_id,Entero (FK),Persona que actúa como representante o familiar,60
VINCULO_FAMILIAR,parentesco,Texto,Relación del representante con el estudiante,Madre
VINCULO_FAMILIAR,es_principal,Booleano,Indica si es el representante principal,true
VINCULO_FAMILIAR,puede_retirar,Booleano,Indica si está autorizado para retirar al estudiante,true
VINCULO_FAMILIAR,contacto_emergencia,Booleano,Indica si es contacto de emergencia,true
VINCULO_FAMILIAR,recibe_notificaciones,Booleano,Indica si recibe notificaciones del sistema,true
VINCULO_FAMILIAR,fecha_creacion,Fecha-hora,Fecha de registro del vínculo familiar,2025-08-10 09:20:00
ASIGNATURA,id,Entero (PK),Identificador único de la asignatura,5
ASIGNATURA,codigo,Texto (UK),Código corto de la asignatura,MAT
ASIGNATURA,nombre,Texto,Nombre completo de la asignatura,Matemática
ASIGNATURA,activa,Booleano,Indica si la asignatura está activa en el currículo,true
CONFIGURACION_ASIGNATURA,id,Entero (PK),Identificador único de la configuración,11
CONFIGURACION_ASIGNATURA,asignatura_id,Entero (FK),Asignatura configurada,5
CONFIGURACION_ASIGNATURA,grado_academico_id,Entero (FK),Grado al que aplica la configuración,8
CONFIGURACION_ASIGNATURA,horas_semanales,Entero,Horas pedagógicas semanales asignadas a la asignatura,5
CONFIGURACION_ASIGNATURA,orden_pedagogico,Entero,Orden de la asignatura en el horario pedagógico,1
CONFIGURACION_ASIGNATURA,es_obligatoria,Booleano,Indica si la asignatura es de cursado obligatorio,true
CONFIGURACION_ASIGNATURA,activa,Booleano,Indica si la configuración está vigente,true
OFERTA_ASIGNATURA,id,Entero (PK),Identificador único de la oferta,20
OFERTA_ASIGNATURA,anno_escolar_id,Entero (FK),Año escolar en que se oferta,1
OFERTA_ASIGNATURA,seccion_id,Entero (FK),Sección en la que se dicta la asignatura,12
OFERTA_ASIGNATURA,configuracion_asignatura_id,Entero (FK),Configuración académica que origina esta oferta,11
OFERTA_ASIGNATURA,activa,Booleano,Indica si la oferta está activa en el año escolar,true
ASIGNACION_DOCENTE,id,Entero (PK),Identificador único de la asignación,9
ASIGNACION_DOCENTE,usuario_id,Entero (FK),Usuario docente asignado,7
ASIGNACION_DOCENTE,oferta_asignatura_id,Entero (FK),Oferta de asignatura que dicta el docente,20
ASIGNACION_DOCENTE,activa,Booleano,Indica si la asignación está vigente,true
MATRICULA,id,Entero (PK),Identificador único de la matrícula,55
MATRICULA,perfil_estudiante_id,Entero (FK),Estudiante matriculado,18
MATRICULA,seccion_id,Entero (FK),Sección en la que está matriculado,12
MATRICULA,anno_escolar_id,Entero (FK),Año escolar de la matrícula,1
MATRICULA,estado_matricula_id,Entero (FK),Estado actual de la matrícula,1
MATRICULA,fecha_matricula,Fecha,Fecha en que se realizó la matrícula,2025-08-12
MATRICULA,es_repitente,Booleano,Indica si el estudiante repite el año escolar,false
MATRICULA,anno_escolar_repitencia_id,Entero (FK),Año escolar que repite (si es repitente),NULL
MATRICULA,fecha_retiro,Fecha,Fecha de retiro del estudiante (si aplica),NULL
MATRICULA,motivo_retiro,Texto,Causa del retiro del estudiante del sistema educativo,NULL
PERIODO_ACADEMICO,id,Entero (PK),Identificador único del período,3
PERIODO_ACADEMICO,anno_escolar_id,Entero (FK),Año escolar al que pertenece el período,1
PERIODO_ACADEMICO,nombre,Texto,Nombre descriptivo del período académico,Primer Trimestre
PERIODO_ACADEMICO,tipo_periodo,Texto,"Tipo de período (regular, supletorio, refuerzo)",REGULAR
PERIODO_ACADEMICO,fecha_inicio,Fecha,Fecha de inicio del período académico,2025-09-02
PERIODO_ACADEMICO,fecha_fin,Fecha,Fecha de cierre del período académico,2025-11-28
PERIODO_ACADEMICO,es_periodo_regular,Booleano,Indica si es un período académico regular del año,true
BLOQUE_EVALUACION,id,Entero (PK),Identificador único del bloque,6
BLOQUE_EVALUACION,periodo_academico_id,Entero (FK),Período académico al que pertenece el bloque,3
BLOQUE_EVALUACION,nombre,Texto,Nombre descriptivo del bloque,Evaluación Formativa — 1er Trimestre
BLOQUE_EVALUACION,tipo_evaluacion,Texto,"Tipo de evaluación: DIAGNOSTICA, FORMATIVA o SUMATIVA",FORMATIVA
BLOQUE_EVALUACION,porcentaje_ponderacion,Decimal,Porcentaje que representa este bloque en la nota final del período,70.00
BLOQUE_EVALUACION,activa,Booleano,Indica si el bloque está habilitado para registro,true
COMPONENTE_BLOQUE,id,Entero (PK),Identificador único del componente,10
COMPONENTE_BLOQUE,bloque_evaluacion_id,Entero (FK),Bloque al que pertenece el componente,6
COMPONENTE_BLOQUE,nombre,Texto,Nombre del componente dentro del bloque,Lecciones Orales
COMPONENTE_BLOQUE,ponderacion_interna,Decimal,Peso del componente dentro del bloque de evaluación,30.00
INDICADOR_COMPONENTE,id,Entero (PK),Identificador único del indicador,14
INDICADOR_COMPONENTE,componente_bloque_id,Entero (FK),Componente al que pertenece el indicador,10
INDICADOR_COMPONENTE,nombre,Texto,Nombre del indicador de logro,Resolución de ejercicios de ecuaciones lineales
INDICADOR_COMPONENTE,ponderacion_interna,Decimal,Peso del indicador dentro de su componente,50.00
PROYECTO_INTERDISCIPLINAR,id,Entero (PK),Identificador único del proyecto,2
PROYECTO_INTERDISCIPLINAR,periodo_academico_id,Entero (FK),Período en que se desarrolla el proyecto,3
PROYECTO_INTERDISCIPLINAR,titulo,Texto,Título del proyecto interdisciplinar,Matemáticas en la vida cotidiana: estadística ambiental
PROYECTO_INTERDISCIPLINAR,descripcion,Texto largo,Descripción del proyecto y sus objetivos,Proyecto que integra Matemática y Ciencias Naturales para analizar datos ambientales del cantón Milagro
PROYECTO_INTERDISCIPLINAR,fecha_inicio,Fecha,Fecha de inicio del proyecto,2025-10-01
PROYECTO_INTERDISCIPLINAR,fecha_entrega,Fecha,Fecha límite de entrega del proyecto,2025-11-20
PROYECTO_INTERDISCIPLINAR,activo,Booleano,Indica si el proyecto está activo,true
PROYECTO_ASIGNATURA,id,Entero (PK),Identificador único del vínculo,4
PROYECTO_ASIGNATURA,proyecto_interdisciplinar_id,Entero (FK),Proyecto al que pertenece el vínculo,2
PROYECTO_ASIGNATURA,oferta_asignatura_id,Entero (FK),Asignatura que participa en el proyecto,20
ACTIVIDAD_EVALUATIVA,id,Entero (PK),Identificador único de la actividad,33
ACTIVIDAD_EVALUATIVA,indicador_componente_id,Entero (FK),Indicador al que responde la actividad,14
ACTIVIDAD_EVALUATIVA,asignacion_docente_id,Entero (FK),Docente que crea la actividad,9
ACTIVIDAD_EVALUATIVA,titulo,Texto,Título descriptivo de la actividad evaluativa,Tarea 1: Ecuaciones de primer grado
ACTIVIDAD_EVALUATIVA,tipo_actividad,Texto,"Tipo de actividad (tarea, lección oral, taller, examen)",TAREA
ACTIVIDAD_EVALUATIVA,puntuacion_maxima,Decimal,Calificación máxima posible en esta actividad,10.00
ACTIVIDAD_EVALUATIVA,fecha_vencimiento,Fecha,Fecha límite para completar o entregar la actividad,2025-10-15
ACTIVIDAD_EVALUATIVA,es_proyecto_interdisciplinar,Booleano,Indica si esta actividad forma parte de un proyecto interdisciplinar,false
NOTA_ACTIVIDAD,id,Entero (PK),Identificador único de la calificación,120
NOTA_ACTIVIDAD,uuid,Texto (UK),Identificador único global para sincronización offline,a1b2c3d4-e5f6-7890-abcd-ef1234567890
NOTA_ACTIVIDAD,matricula_id,Entero (FK),Matrícula del estudiante calificado,55
NOTA_ACTIVIDAD,actividad_evaluativa_id,Entero (FK),Actividad evaluativa calificada,33
NOTA_ACTIVIDAD,tipo_calificacion_id,Entero (FK),Tipo de calificación (formativa/sumativa),2
NOTA_ACTIVIDAD,escala_cualitativa_id,Entero (FK),Escala cualitativa equivalente a la nota (si aplica),5
NOTA_ACTIVIDAD,puntuacion_numerica,Decimal,Calificación numérica obtenida por el estudiante (escala 1–10),9.50
NOTA_ACTIVIDAD,anulada_manualmente,Booleano,Indica si la nota fue anulada por el docente o administrador,false
NOTA_ACTIVIDAD,observacion_docente,Texto,Comentario del docente sobre el desempeño del estudiante,Excelente resolución de problemas. Muy detallado en el procedimiento.
NOTA_ACTIVIDAD,estado_sincronizacion,Texto,Estado de la sincronización offline del registro,SINCRONIZADO
NOTA_ACTIVIDAD,sincronizada_en,Fecha-hora,Fecha y hora en que se sincronizó el registro al servidor,2026-05-15 18:30:00
NOTA_ACTIVIDAD,fecha_creacion,Fecha-hora,Fecha y hora en que se creó el registro (en dispositivo o servidor),2026-05-15 13:45:00
NOTA_ACTIVIDAD,fecha_actualizacion,Fecha-hora,Fecha y hora de la última modificación del registro,2026-05-15 14:00:00
NOTA_ACTIVIDAD,version_sincronizacion,Entero,Número de versión para control de conflictos en sincronización offline,1
NOTA_ACTIVIDAD,origen_dispositivo,Texto,Identificador del dispositivo desde donde se originó el registro,tablet-docente-07
NOTA_PROYECTO,id,Entero (PK),Identificador único de la calificación del proyecto,15
NOTA_PROYECTO,uuid,Texto (UK),Identificador único global para sincronización offline,d4e5f6a7-b8c9-0123-def0-123456789abc
NOTA_PROYECTO,matricula_id,Entero (FK),Matrícula del estudiante calificado,55
NOTA_PROYECTO,proyecto_interdisciplinar_id,Entero (FK),Proyecto interdisciplinar evaluado,2
NOTA_PROYECTO,nota_producto,Decimal,"Calificación del producto entregado (informe, maqueta, etc.)",8.50
NOTA_PROYECTO,nota_exposicion,Decimal,Calificación de la exposición oral del proyecto,9.00
NOTA_PROYECTO,nota_final,Decimal,Promedio final calculado entre producto y exposición,8.75
NOTA_PROYECTO,observacion,Texto,Observación del docente sobre el desempeño en el proyecto,Buena argumentación estadística. Mejorar presentación visual.
NOTA_PROYECTO,estado_sincronizacion,Texto,Estado de sincronización offline del registro,SINCRONIZADO
NOTA_PROYECTO,sincronizada_en,Fecha-hora,Fecha y hora de sincronización al servidor,2026-11-20 19:00:00
NOTA_PROYECTO,fecha_creacion,Fecha-hora,Fecha de creación del registro,2026-11-20 16:00:00
NOTA_PROYECTO,version_sincronizacion,Entero,Versión del registro para resolución de conflictos,1
NOTA_PROYECTO,origen_dispositivo,Texto,Dispositivo desde donde se originó el registro,tablet-docente-07
REGISTRO_ASISTENCIA,id,Entero (PK),Identificador único del registro de asistencia,450
REGISTRO_ASISTENCIA,uuid,Texto (UK),Identificador único global para sincronización offline,f7a8b9c0-d1e2-3456-fgh0-234567890bcd
REGISTRO_ASISTENCIA,matricula_id,Entero (FK),Matrícula del estudiante cuya asistencia se registra,55
REGISTRO_ASISTENCIA,asignacion_docente_id,Entero (FK),Docente que toma la asistencia en esa asignatura,9
REGISTRO_ASISTENCIA,periodo_academico_id,Entero (FK),Período académico del registro,3
REGISTRO_ASISTENCIA,estado_asistencia_id,Entero (FK),Estado de asistencia del estudiante ese día,1
REGISTRO_ASISTENCIA,tipo_ausencia,Texto,"Tipo de ausencia: JUSTIFICADA, INJUSTIFICADA o RETRASO",NULL
REGISTRO_ASISTENCIA,fecha_asistencia,Fecha,Fecha del registro de asistencia,2026-05-20
REGISTRO_ASISTENCIA,observacion,Texto,Nota del docente sobre la asistencia o situación del estudiante,"Llegó 10 minutos tarde, avisó previamente"
REGISTRO_ASISTENCIA,estado_sincronizacion,Texto,Estado de sincronización offline del registro,PENDIENTE
REGISTRO_ASISTENCIA,sincronizada_en,Fecha-hora,Fecha y hora de sincronización (NULL si pendiente),NULL
REGISTRO_ASISTENCIA,fecha_creacion,Fecha-hora,Fecha y hora en que se tomó la asistencia,2026-05-20 07:55:00
REGISTRO_ASISTENCIA,fecha_actualizacion,Fecha-hora,Fecha y hora de última modificación,2026-05-20 07:55:00
REGISTRO_ASISTENCIA,version_sincronizacion,Entero,Versión del registro para control de conflictos,1
REGISTRO_ASISTENCIA,origen_dispositivo,Texto,Dispositivo desde el que se originó el registro de asistencia,tablet-docente-07
INCIDENTE_DISCIPLINARIO,id,Entero (PK),Identificador único del incidente,8
INCIDENTE_DISCIPLINARIO,uuid,Texto (UK),UUID global para sincronización offline,c3d4e5f6-a7b8-9012-cdef-012345678901
INCIDENTE_DISCIPLINARIO,matricula_id,Entero (FK),Matrícula del estudiante involucrado,55
INCIDENTE_DISCIPLINARIO,reportado_por_usuario_id,Entero (FK),Usuario que registra el incidente,7
INCIDENTE_DISCIPLINARIO,periodo_academico_id,Entero (FK),Período en que ocurrió el incidente,3
INCIDENTE_DISCIPLINARIO,tipo_incidente_id,Entero (FK),Tipo de incidente según catálogo,2
INCIDENTE_DISCIPLINARIO,fecha_incidente,Fecha,Fecha en que ocurrió el incidente,2026-04-10
INCIDENTE_DISCIPLINARIO,severidad,Entero,"Nivel de severidad del incidente (1 = leve, 3 = grave)",2
INCIDENTE_DISCIPLINARIO,descripcion,Texto largo,Descripción detallada del incidente ocurrido,"Juan insultó a un compañero durante la clase de Matemáticas, negándose a trabajar en grupo"
INCIDENTE_DISCIPLINARIO,acciones_tomadas,Texto largo,Acciones correctivas aplicadas por el docente o directivo,Se realizó mediación entre los estudiantes y se notificó al DECE
INCIDENTE_DISCIPLINARIO,familia_notificada,Booleano,Indica si se notificó a la familia del incidente,true
INCIDENTE_DISCIPLINARIO,estado_sincronizacion,Texto,Estado de sincronización offline del registro,SINCRONIZADO
INCIDENTE_DISCIPLINARIO,sincronizada_en,Fecha-hora,Fecha y hora de sincronización al servidor,2026-04-10 16:00:00
INCIDENTE_DISCIPLINARIO,fecha_creacion,Fecha-hora,Fecha y hora de creación del registro,2026-04-10 11:30:00
INCIDENTE_DISCIPLINARIO,fecha_actualizacion,Fecha-hora,Fecha y hora de última modificación,2026-04-10 11:30:00
INCIDENTE_DISCIPLINARIO,version_sincronizacion,Entero,Versión para resolución de conflictos,1
INCIDENTE_DISCIPLINARIO,origen_dispositivo,Texto,Dispositivo desde el que se originó el registro,movil-docente-03
EVALUACION_HABILIDAD,id,Entero (PK),Identificador único de la evaluación de habilidad,25
EVALUACION_HABILIDAD,matricula_id,Entero (FK),Matrícula del estudiante evaluado,55
EVALUACION_HABILIDAD,periodo_academico_id,Entero (FK),Período académico de la evaluación,3
EVALUACION_HABILIDAD,habilidad_socioemocional_id,Entero (FK),Habilidad socioemocional evaluada,3
EVALUACION_HABILIDAD,escala_cualitativa_id,Entero (FK),Escala cualitativa asignada al estudiante en esta habilidad,5
EVALUACION_HABILIDAD,observacion,Texto,Observación del docente sobre la habilidad evaluada,Juan demuestra empatía en actividades grupales; mejora la comunicación con pares
EVALUACION_HABILIDAD,fecha_evaluacion,Fecha-hora,Fecha en que se realizó la evaluación de la habilidad,2026-11-25 10:00:00
EVALUACION_DIAGNOSTICA,id,Entero (PK),Identificador único del diagnóstico socioemocional,5
EVALUACION_DIAGNOSTICA,matricula_id,Entero (FK),Matrícula del estudiante diagnosticado,55
EVALUACION_DIAGNOSTICA,periodo_academico_id,Entero (FK),Período académico al inicio del cual se realiza el diagnóstico,3
EVALUACION_DIAGNOSTICA,aplicada_por_usuario_id,Entero (FK),Usuario (docente o DECE) que aplica el diagnóstico,7
EVALUACION_DIAGNOSTICA,area_socioemocional,Texto,Área socioemocional evaluada,Identidad y Autonomía
EVALUACION_DIAGNOSTICA,descripcion_hallazgos,Texto largo,Descripción de los hallazgos del diagnóstico,"Estudiante presenta alta dependencia emocional, dificultad para tomar decisiones en grupo"
EVALUACION_DIAGNOSTICA,nivel_desarrollo,Texto,Nivel de desarrollo detectado en el área evaluada,EN PROCESO
EVALUACION_DIAGNOSTICA,fecha_aplicacion,Fecha,Fecha de aplicación del diagnóstico,2025-09-05
EVALUACION_DIAGNOSTICA,recomendaciones,Texto largo,Recomendaciones para el docente y la familia,Reforzar actividades de toma de decisiones y fomentar la participación grupal
PROCESO_RECUPERACION,id,Entero (PK),Identificador único del proceso de recuperación,4
PROCESO_RECUPERACION,resumen_calificacion_periodo_id,Entero (FK),Resumen de calificaciones que origina el proceso,88
PROCESO_RECUPERACION,gestionado_por_usuario_id,Entero (FK),Usuario (docente o administrador) que gestiona el proceso,7
PROCESO_RECUPERACION,tipo_proceso,Texto,"Tipo de recuperación: MEJORA_DIRECTA, MEJORA_CON_REFUERZO o SUPLETORIA",SUPLETORIA
PROCESO_RECUPERACION,nota_inicial,Decimal,Nota con la que ingresa al proceso de recuperación,5.80
PROCESO_RECUPERACION,nota_refuerzo,Decimal,Nota del período de refuerzo pedagógico (si aplica),NULL
PROCESO_RECUPERACION,nota_evaluacion_mejora,Decimal,Nota obtenida en la evaluación de mejora o supletoria,8.50
PROCESO_RECUPERACION,nota_final_calculada,Decimal,Nota final calculada según la fórmula del tipo de proceso; supletoria = 7.00 si aprueba,7.00
PROCESO_RECUPERACION,familia_notificada,Booleano,Indica si la familia fue notificada del proceso,true
PROCESO_RECUPERACION,fecha_inicio,Fecha,Fecha de inicio del proceso de recuperación,2026-12-01
PROCESO_RECUPERACION,fecha_fin,Fecha,Fecha de finalización del proceso de recuperación,2026-12-05
PROCESO_RECUPERACION,observaciones,Texto largo,Observaciones del docente sobre el proceso de recuperación,Juan Pérez aprobó el examen supletorio de Matemáticas con 8.5/10; nota final registrada: 7.00
AUDITORIA_NOTA,id,Entero (PK),Identificador único del registro de auditoría,12
AUDITORIA_NOTA,nota_actividad_id,Entero (FK),Calificación que fue modificada,120
AUDITORIA_NOTA,modificada_por_usuario_id,Entero (FK),Usuario que realizó la modificación,7
AUDITORIA_NOTA,puntuacion_anterior,Decimal,Calificación original antes de la modificación,8.00
AUDITORIA_NOTA,puntuacion_nueva,Decimal,Nueva calificación tras la modificación,9.50
AUDITORIA_NOTA,razon,Texto,Justificación de la modificación de calificación,Error de digitación; la nota correcta es 9.5 según instrumento físico firmado
AUDITORIA_NOTA,modificada_en,Fecha-hora,Fecha y hora exacta en que se realizó la modificación,2026-05-16 09:10:00
COLA_SINCRONIZACION,id,Entero (PK),Identificador único de la operación en cola,201
COLA_SINCRONIZACION,uuid,Texto (UK),UUID único de esta operación de sincronización,e9f0a1b2-c3d4-5678-efab-901234567cde
COLA_SINCRONIZACION,usuario_id,Entero (FK),Usuario que originó la operación offline,7
COLA_SINCRONIZACION,tabla_origen,Texto,Nombre de la tabla que originó la operación pendiente,NOTA_ACTIVIDAD
COLA_SINCRONIZACION,registro_uuid,Texto,UUID del registro en la tabla de origen,a1b2c3d4-e5f6-7890-abcd-ef1234567890
COLA_SINCRONIZACION,operacion,Texto,"Tipo de operación pendiente: INSERT, UPDATE o DELETE",INSERT
COLA_SINCRONIZACION,payload,JSON,Datos completos del registro a sincronizar en formato JSON,"{""matricula_id"":55,""puntuacion_numerica"":9.5,...}"
COLA_SINCRONIZACION,intentos,Entero,Número de intentos fallidos de sincronización,2
COLA_SINCRONIZACION,ultimo_error,Texto,Descripción del último error de sincronización,Connection timeout al intentar POST /api/notas
COLA_SINCRONIZACION,estado,Texto,"Estado actual de la operación: PENDIENTE, PROCESADO, ERROR",PENDIENTE
COLA_SINCRONIZACION,creada_en,Fecha-hora,Fecha y hora en que se generó la operación offline,2026-05-20 07:55:00
COLA_SINCRONIZACION,procesada_en,Fecha-hora,Fecha y hora en que fue procesada exitosamente,NULL
RESUMEN_CALIFICACION_PERIODO,id,Entero (PK),Identificador único del resumen,88
RESUMEN_CALIFICACION_PERIODO,matricula_id,Entero (FK),Matrícula del estudiante resumida,55
RESUMEN_CALIFICACION_PERIODO,oferta_asignatura_id,Entero (FK),Asignatura del resumen,20
